Year,Month,Decimal_date,Semihemispheric_modelled_mole_fractions_box0,Semihemispheric_modelled_mole_fractions_box1,Semihemispheric_modelled_mole_fractions_box2,Semihemispheric_modelled_mole_fractions_box3,Semihemispheric_modelled_mole_fractions_box4,Semihemispheric_modelled_mole_fractions_box5,Semihemispheric_modelled_mole_fractions_box6,Semihemispheric_modelled_mole_fractions_box7,Semihemispheric_modelled_mole_fractions_box8,Semihemispheric_modelled_mole_fractions_box9,Semihemispheric_modelled_mole_fractions_box10,Semihemispheric_modelled_mole_fractions_box11,Semihemispheric_modelled_mole_fractions_1-sigma_box0,Semihemispheric_modelled_mole_fractions_1-sigma_box1,Semihemispheric_modelled_mole_fractions_1-sigma_box2,Semihemispheric_modelled_mole_fractions_1-sigma_box3
1994,9,1994.67,1808655.1178117539,1753088.1271912958,1707691.3831387856,1719300.4625807123,1785648.0126550463,1744419.5848490437,1723764.7386950715,1721953.250736334,1616481.7293170637,1609427.5729654192,1606063.104466445,1609616.9318975303,8842.380987634042,8621.526574614478,8284.685243589114,8315.234382805776
1994,10,1994.75,1820036.2906815389,1763388.8284607413,1711486.0464878108,1717325.835370245,1790817.8727583503,1755117.271954798,1716727.1980872292,1718535.1977055294,1617029.6156669748,1609306.414969728,1605942.7801060472,1609576.12692732,8850.601935856652,8605.461080956084,8279.304300919905,8299.283875721396
1994,11,1994.83,1832893.156928514,1781933.3840802058,1714103.9223085355,1711642.248395031,1801598.1878270502,1772724.1516054089,1715151.7214669413,1712760.474491049,1618736.7273916574,1610174.6205371814,1605521.453422188,1608236.3073551222,8895.609322289423,8651.612888081327,8283.924942615455,8263.477554097464
1994,12,1994.92,1848234.5029302407,1800602.4799337524,1713627.1889789705,1704795.4914378852,1816637.514420695,1790706.5556265695,1716102.5142243777,1707916.9931049948,1621373.9467887832,1611920.8103377698,1605209.0149785127,1606149.7364702646,9006.211563852643,8750.636157718962,8286.271518474932,8223.280010607188
1995,1,1995.0,1848033.8545967091,1801737.4568154446,1713162.9404778623,1698463.3867180147,1822029.0662284147,1788630.3372399618,1710681.0435971813,1697297.3907281354,1624381.2381834644,1613840.2728663038,1604947.240836199,1603964.3216570825,8972.206316260437,8706.643545200912,8280.228084161281,8187.206797351578
1995,2,1995.08,1834778.0222671009,1785720.2809070626,1710168.2889088138,1691976.585987624,1810949.8435472867,1775218.7893194605,1704862.7407986168,1687979.3113283988,1626616.490038625,1614961.4692357588,1604514.0197483962,1602101.5895887832,8925.433341326621,8619.278763730917,8302.501716010689,8162.571961989553
1995,3,1995.17,1820140.8151207517,1767318.5425213552,1704958.4420374057,1688431.0158280465,1797718.406065605,1762369.153912051,1700406.8680959232,1683354.1396850913,1627518.4974043006,1615121.8410162865,1604002.8549782613,1601213.0404905688,8912.337404916034,8558.462999904503,8320.045348239617,8157.82490757513
1995,4,1995.25,1814088.9979342578,1762152.261500502,1700366.4471742911,1692728.4037113555,1789950.2187856461,1758462.7325901587,1694877.2635253456,1687363.8136533303,1626673.3730747802,1614468.4290366399,1603592.933047307,1601570.2026224753,8825.270402797496,8514.164994142648,8254.715276417022,8185.694503864483
1995,5,1995.33,1812810.2713036637,1765981.4876947047,1701440.66382926,1702116.2605505013,1789647.5897380523,1760939.7379022406,1695121.3145295407,1694587.205754644,1624648.4050620676,1613512.016906747,1603540.3240193212,1602967.4096620728,8798.143412322683,8539.912082154216,8223.41237199345,8237.815615673533
1995,6,1995.42,1805404.6522296607,1765936.646113292,1707058.6165906433,1710950.5228173002,1786179.195309303,1760859.028887762,1700080.2625777395,1701910.6372612244,1622082.2530574054,1612481.9511275433,1604023.5951916513,1604880.9659904055,8799.279740917023,8564.803013913815,8251.832487149717,8287.256981275334
1995,7,1995.5,1800730.804809736,1761646.2430673062,1707907.5146605908,1714997.9028899665,1783719.5663043095,1756078.6422973657,1717052.4432533567,1712486.7342804354,1619478.2087140803,1611450.8416515596,1604906.424186878,1606939.207314364,8742.227776172593,8539.486519132772,8258.575845212075,8297.328022338266
1995,8,1995.58,1802534.2290604985,1756309.4214166778,1709819.292959348,1718366.5977814004,1783844.816504481,1749273.3173633227,1724639.224240103,1720539.194354705,1617602.4335135757,1610489.0157578548,1605881.1281073573,1608805.1652666295,8753.331438505656,8564.801948078511,8279.871997197488,8306.913099928264
1995,9,1995.67,1810563.960130154,1754787.1751739753,1709155.97710252,1720698.6306341214,1787467.0785458428,1746127.9000006227,1725259.3483818702,1723370.181493373,1616866.5128766987,1609791.4802428514,1606394.4277171374,1609928.448840587,8850.829978592335,8626.66593967779,8289.985066054322,8320.315689783625
1995,10,1995.75,1821978.3611834904,1765136.2001108648,1712985.4716254806,1718758.808327044,1792659.5107352368,1756850.059624979,1718227.5616650213,1719973.394668512,1617458.0643835964,1609713.1491966685,1606317.5203954456,1609931.9775960357,8858.87679499734,8611.455349588221,8284.825825146047,8304.595863387252
1995,11,1995.83,1834866.1362518785,1783742.339147057,1715627.9277935845,1713098.5915783064,1803467.0088007238,1774506.003059525,1716667.3430550373,1714214.888519637,1619208.1430000158,1610624.1243017546,1605938.3554369374,1608634.8921303456,8904.130259939357,8659.098470350162,8289.741980137464,8269.129546817157
1995,12,1995.92,1850245.452443243,1802463.1513643456,1715173.1864707465,1706270.401544303,1818545.5045742563,1792538.8392971272,1717642.7486239208,1709391.303708056,1621888.1859088517,1612413.1069209683,1605667.523508196,1606589.7792275252,9015.110185699406,8759.08964119624,8292.340004870379,8229.203656593963
1996,1,1996.0,1850085.6538502586,1803671.4678935371,1714775.818184025,1699958.3866312413,1823960.8816876584,1790461.9693572202,1712229.192117112,1698782.4681048573,1624938.0122592065,1614374.5272479788,1605446.5843703393,1604444.7751540148,8981.826816344521,8716.138791121155,8286.885950071432,8193.235383644444
1996,2,1996.08,1836860.685239151,1787701.8130309014,1711855.9476633726,1693496.440680998,1812900.031033254,1777067.1036743673,1706456.6271572497,1689484.4037039822,1627214.556122773,1615536.0788489329,1605053.496463664,1602621.5222317404,8935.661202693247,8629.446882167302,8309.843374673072,8168.681160153256
1996,3,1996.17,1822248.618395837,1769328.9875975018,1706701.4021117317,1689984.8334040977,1799695.967879406,1764250.5849407865,1702054.4266095278,1684894.957612575,1628156.8162405924,1615736.3240780935,1604582.5188241268,1601772.4634559385,8922.990685435996,8569.067039034775,8327.920958181658,8164.137698000831
1996,4,1996.25,1816221.6820269958,1764180.2340285017,1702135.4200842304,1694320.6328107875,1791969.4620436574,1760404.729668816,1696565.6167155295,1688953.546854177,1627351.1444330607,1615122.7358367292,1604212.7289143277,1602169.7006234766,8836.420748341281,8524.821162285523,8263.019225601236,8192.240974002636
1996,5,1996.33,1814967.7385167817,1768037.620010772,1703229.2286884228,1703748.813769947,1791707.3284551129,1762928.0857200632,1696838.867761157,1696219.5969640124,1625365.3674242338,1614206.3315083175,1604200.0547017965,1603607.5069382684,8809.739813622915,8550.639062786848,8232.091359337348,8244.643116171714
